COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE,COMMENT
Alameda,2020,Total population,All ages,All ages,4282.0,25.8,
Alpine,2020,Total population,All ages,All ages,0.0,0.0,
Amador,2020,Total population,All ages,All ages,103.0,31.2,
Butte,2020,Total population,All ages,All ages,474.0,24.2,
Calaveras,2020,Total population,All ages,All ages,111.0,30.4,
Colusa,2020,Total population,All ages,All ages,49.0,24.0,
Contra Costa,2020,Total population,All ages,All ages,3040.0,27.5,
Del Norte,2020,Total population,All ages,All ages,104.0,40.6,
El Dorado,2020,Total population,All ages,All ages,351.0,20.6,
Fresno,2020,Total population,All ages,All ages,3504.0,34.0,
Glenn,2020,Total population,All ages,All ages,55.0,19.5,
Humboldt,2020,Total population,All ages,All ages,443.0,36.0,
Imperial,2020,Total population,All ages,All ages,474.0,25.1,
Inyo,2020,Total population,All ages,All ages,47.0,28.3,
Kern,2020,Total population,All ages,All ages,2532.0,27.7,
Kings,2020,Total population,All ages,All ages,426.0,27.1,
Lake,2020,Total population,All ages,All ages,269.0,46.8,
Lassen,2020,Total population,All ages,All ages,90.0,33.4,
Los Angeles,2020,Total population,All ages,All ages,25920.0,26.2,
Madera,2020,Total population,All ages,All ages,475.0,30.8,
Marin,2020,Total population,All ages,All ages,280.0,11.7,
Mariposa,2020,Total population,All ages,All ages,31.0,22.8,
Mendocino,2020,Total population,All ages,All ages,315.0,39.8,
Merced,2020,Total population,All ages,All ages,1034.0,37.1,
Modoc,2020,Total population,All ages,All ages,43.0,57.3,
Mono,2020,Total population,All ages,All ages,40.0,33.3,
Monterey,2020,Total population,All ages,All ages,917.0,21.3,
Napa,2020,Total population,All ages,All ages,322.0,22.7,
Nevada,2020,Total population,All ages,All ages,174.0,21.6,
Orange,2020,Total population,All ages,All ages,4870.0,15.9,
Placer,2020,Total population,All ages,All ages,623.0,16.7,
Plumas,2020,Total population,All ages,All ages,57.0,42.2,
Riverside,2020,Total population,All ages,All ages,5888.0,24.9,
Sacramento,2020,Total population,All ages,All ages,5489.0,35.7,
San Benito,2020,Total population,All ages,All ages,219.0,36.5,
San Bernardino,2020,Total population,All ages,All ages,6763.0,31.1,
San Diego,2020,Total population,All ages,All ages,5749.0,17.5,
San Francisco,2020,Total population,All ages,All ages,1437.0,16.6,
San Joaquin,2020,Total population,All ages,All ages,2945.0,38.6,
San Luis Obispo,2020,Total population,All ages,All ages,432.0,18.3,
San Mateo,2020,Total population,All ages,All ages,1082.0,14.0,
Santa Barbara,2020,Total population,All ages,All ages,680.0,15.5,
Santa Clara,2020,Total population,All ages,All ages,2814.0,14.5,
Santa Cruz,2020,Total population,All ages,All ages,458.0,17.3,
Shasta,2020,Total population,All ages,All ages,402.0,24.8,
Sierra,2020,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2020,Total population,All ages,All ages,86.0,24.8,
Solano,2020,Total population,All ages,All ages,1770.0,41.7,
Sonoma,2020,Total population,All ages,All ages,884.0,18.8,
Stanislaus,2020,Total population,All ages,All ages,1804.0,32.8,
Sutter,2020,Total population,All ages,All ages,183.0,18.8,
Tehama,2020,Total population,All ages,All ages,173.0,28.0,
Trinity,2020,Total population,All ages,All ages,27.0,28.5,
Tulare,2020,Total population,All ages,All ages,1135.0,23.8,
Tuolumne,2020,Total population,All ages,All ages,129.0,28.6,
Ventura,2020,Total population,All ages,All ages,1394.0,17.4,
Yolo,2020,Total population,All ages,All ages,456.0,22.8,
Yuba,2020,Total population,All ages,All ages,191.0,25.0,
Alameda,2021,Total population,All ages,All ages,3873.0,23.6,
Alpine,2021,Total population,All ages,All ages,0.0,0.0,
Amador,2021,Total population,All ages,All ages,95.0,33.7,
Butte,2021,Total population,All ages,All ages,443.0,21.3,
Calaveras,2021,Total population,All ages,All ages,120.0,38.0,
Colusa,2021,Total population,All ages,All ages,61.0,27.5,
Contra Costa,2021,Total population,All ages,All ages,2913.0,26.8,
Del Norte,2021,Total population,All ages,All ages,97.0,39.3,
El Dorado,2021,Total population,All ages,All ages,388.0,24.1,
Fresno,2021,Total population,All ages,All ages,3526.0,34.3,
Glenn,2021,Total population,All ages,All ages,80.0,28.5,
Humboldt,2021,Total population,All ages,All ages,344.0,28.4,
Imperial,2021,Total population,All ages,All ages,400.0,20.5,
Inyo,2021,Total population,All ages,All ages,50.0,36.9,
Kern,2021,Total population,All ages,All ages,2442.0,26.4,
Kings,2021,Total population,All ages,All ages,528.0,33.1,
Lake,2021,Total population,All ages,All ages,242.0,42.1,
Lassen,2021,Total population,All ages,All ages,89.0,30.2,
Los Angeles,2021,Total population,All ages,All ages,24790.0,25.7,
Madera,2021,Total population,All ages,All ages,471.0,30.6,
Marin,2021,Total population,All ages,All ages,305.0,13.9,
Mariposa,2021,Total population,All ages,All ages,26.0,17.0,
