COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF HOSPITALIZATIONS,AGE-ADJUSTED HOSPITALIZATION RATE,COMMENT
Alameda,2020,Total population,All ages,All ages,347.0,2.1,
Alpine,2020,Total population,All ages,All ages,0.0,0.0,
Amador,2020,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2020,Total population,All ages,All ages,62.0,3.4,
Calaveras,2020,Total population,All ages,All ages,7.0,,Rate not available due to statistical instability
Colusa,2020,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2020,Total population,All ages,All ages,234.0,2.0,
Del Norte,2020,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2020,Total population,All ages,All ages,28.0,1.7,
Fresno,2020,Total population,All ages,All ages,354.0,3.5,
Glenn,2020,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2020,Total population,All ages,All ages,35.0,2.5,
Imperial,2020,Total population,All ages,All ages,30.0,1.6,
Inyo,2020,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2020,Total population,All ages,All ages,200.0,2.2,
Kings,2020,Total population,All ages,All ages,23.0,1.7,
Lake,2020,Total population,All ages,All ages,16.0,2.7,
Lassen,2020,Total population,All ages,All ages,15.0,4.9,
Los Angeles,2020,Total population,All ages,All ages,2719.0,2.7,
Madera,2020,Total population,All ages,All ages,36.0,2.3,
Marin,2020,Total population,All ages,All ages,24.0,1.1,
Mariposa,2020,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2020,Total population,All ages,All ages,10.0,,Rate not available due to statistical instability
Merced,2020,Total population,All ages,All ages,59.0,2.1,
Modoc,2020,Total population,All ages,All ages,0.0,0.0,
Mono,2020,Total population,All ages,All ages,9.0,,Rate not available due to statistical instability
Monterey,2020,Total population,All ages,All ages,84.0,1.9,
Napa,2020,Total population,All ages,All ages,13.0,0.9,
Nevada,2020,Total population,All ages,All ages,14.0,1.9,
Orange,2020,Total population,All ages,All ages,547.0,1.7,
Placer,2020,Total population,All ages,All ages,46.0,1.1,
Plumas,2020,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2020,Total population,All ages,All ages,476.0,2.0,
Sacramento,2020,Total population,All ages,All ages,416.0,2.7,
San Benito,2020,Total population,All ages,All ages,6.0,,Rate not available due to statistical instability
