WeekEnd,County,Mean_AQI
2020-01-05,Alameda,57.0
2020-01-05,Amador,20.666666666666668
2020-01-05,Butte,71.8
2020-01-05,Calaveras,60.8
2020-01-05,Colusa,61.0
2020-01-05,Contra Costa,48.6
2020-01-05,Del Norte,42.6
2020-01-05,El Dorado,27.4
2020-01-05,Fresno,90.2
2020-01-05,Glenn,57.6
2020-01-05,Humboldt,37.4
2020-01-05,Imperial,69.4
2020-01-05,Inyo,36.4
2020-01-05,Kern,88.4
2020-01-05,Kings,83.8
2020-01-05,Lake,26.6
2020-01-05,Los Angeles,94.4
2020-01-05,Madera,69.0
2020-01-05,Marin,39.8
2020-01-05,Mariposa,81.0
2020-01-05,Mendocino,55.6
2020-01-05,Merced,72.8
2020-01-05,Mono,65.2
2020-01-05,Monterey,37.6
2020-01-05,Napa,47.4
2020-01-05,Nevada,49.4
2020-01-05,Orange,71.8
2020-01-05,Placer,68.4
2020-01-05,Plumas,75.0
2020-01-05,Riverside,74.0
2020-01-05,Sacramento,75.6
2020-01-05,San Benito,34.0
2020-01-05,San Bernardino,80.2
2020-01-05,San Diego,74.2
2020-01-05,San Francisco,46.8
2020-01-05,San Joaquin,78.0
2020-01-05,San Luis Obispo,47.4
2020-01-05,San Mateo,43.2
2020-01-05,Santa Barbara,45.8
2020-01-05,Santa Clara,55.8
2020-01-05,Shasta,46.4
2020-01-05,Siskiyou,43.8
2020-01-05,Solano,58.2
2020-01-05,Sonoma,48.6
2020-01-05,Stanislaus,75.0
2020-01-05,Sutter,75.0
2020-01-05,Tehama,64.0
2020-01-05,Trinity,53.2
2020-01-05,Tulare,82.2
2020-01-05,Tuolumne,26.6
2020-01-05,Ventura,41.0
2020-01-05,Yolo,61.0
2020-01-12,Alameda,45.857142857142854
2020-01-12,Amador,23.2
2020-01-12,Butte,59.0
2020-01-12,Calaveras,52.714285714285715
2020-01-12,Colusa,39.142857142857146
2020-01-12,Contra Costa,39.714285714285715
2020-01-12,Del Norte,34.714285714285715
2020-01-12,El Dorado,30.857142857142858
2020-01-12,Fresno,69.42857142857143
2020-01-12,Glenn,49.142857142857146
2020-01-12,Humboldt,33.0
2020-01-12,Imperial,72.0
2020-01-12,Inyo,36.857142857142854
2020-01-12,Kern,65.42857142857143
2020-01-12,Kings,62.285714285714285
2020-01-12,Lake,32.285714285714285
2020-01-12,Los Angeles,68.71428571428571
2020-01-12,Madera,57.857142857142854
2020-01-12,Marin,34.857142857142854
2020-01-12,Mariposa,51.285714285714285
2020-01-12,Mendocino,47.57142857142857
2020-01-12,Merced,59.42857142857143
2020-01-12,Mono,44.714285714285715
2020-01-12,Monterey,31.0
2020-01-12,Napa,32.57142857142857
2020-01-12,Nevada,44.285714285714285
2020-01-12,Orange,50.857142857142854
2020-01-12,Placer,55.285714285714285
2020-01-12,Plumas,57.333333333333336
2020-01-12,Riverside,63.714285714285715
2020-01-12,Sacramento,63.0
2020-01-12,San Benito,33.42857142857143
2020-01-12,San Bernardino,65.14285714285714
2020-01-12,San Diego,58.142857142857146
2020-01-12,San Francisco,35.857142857142854
2020-01-12,San Joaquin,59.142857142857146
2020-01-12,San Luis Obispo,38.0
2020-01-12,San Mateo,32.57142857142857
2020-01-12,Santa Barbara,37.857142857142854
2020-01-12,Santa Clara,45.42857142857143
2020-01-12,Shasta,37.57142857142857
2020-01-12,Siskiyou,41.0
2020-01-12,Solano,44.857142857142854
2020-01-12,Sonoma,32.714285714285715
2020-01-12,Stanislaus,63.714285714285715
2020-01-12,Sutter,58.714285714285715
2020-01-12,Tehama,48.142857142857146
2020-01-12,Trinity,41.57142857142857
2020-01-12,Tulare,65.28571428571429
2020-01-12,Tuolumne,25.666666666666668
2020-01-12,Ventura,38.285714285714285
2020-01-12,Yolo,35.857142857142854
2020-01-19,Alameda,44.142857142857146
2020-01-19,Amador,24.714285714285715
2020-01-19,Butte,45.57142857142857
2020-01-19,Calaveras,39.0
2020-01-19,Colusa,32.142857142857146
2020-01-19,Contra Costa,43.857142857142854
2020-01-19,Del Norte,26.0
2020-01-19,El Dorado,31.714285714285715
2020-01-19,Fresno,65.71428571428571
2020-01-19,Glenn,40.142857142857146
2020-01-19,Humboldt,37.285714285714285
2020-01-19,Imperial,70.28571428571429
2020-01-19,Inyo,44.285714285714285
2020-01-19,Kern,67.42857142857143
2020-01-19,Kings,61.42857142857143
2020-01-19,Lake,30.571428571428573
2020-01-19,Los Angeles,81.0
2020-01-19,Madera,50.142857142857146
2020-01-19,Marin,34.714285714285715
2020-01-19,Mariposa,48.714285714285715
2020-01-19,Mendocino,48.42857142857143
2020-01-19,Merced,56.857142857142854
2020-01-19,Mono,353.14285714285717
2020-01-19,Monterey,30.0
2020-01-19,Napa,38.42857142857143
2020-01-19,Nevada,41.42857142857143
2020-01-19,Orange,70.0
2020-01-19,Placer,48.714285714285715
2020-01-19,Plumas,48.42857142857143
2020-01-19,Riverside,76.57142857142857
2020-01-19,Sacramento,42.0
2020-01-19,San Benito,34.0
2020-01-19,San Bernardino,83.71428571428571
2020-01-19,San Diego,70.28571428571429
2020-01-19,San Francisco,35.285714285714285
2020-01-19,San Joaquin,49.285714285714285
2020-01-19,San Luis Obispo,40.42857142857143
2020-01-19,San Mateo,36.285714285714285
2020-01-19,Santa Barbara,39.857142857142854
2020-01-19,Santa Clara,45.0
2020-01-19,Shasta,39.285714285714285
2020-01-19,Siskiyou,42.0
2020-01-19,Solano,43.142857142857146
2020-01-19,Sonoma,40.57142857142857
2020-01-19,Stanislaus,55.285714285714285
2020-01-19,Sutter,39.857142857142854
2020-01-19,Tehama,36.0
2020-01-19,Trinity,53.57142857142857
2020-01-19,Tulare,65.85714285714286
2020-01-19,Tuolumne,28.571428571428573
2020-01-19,Ventura,49.142857142857146
2020-01-19,Yolo,33.857142857142854
2020-01-26,Alameda,50.0
2020-01-26,Amador,23.285714285714285
2020-01-26,Butte,57.714285714285715
2020-01-26,Calaveras,45.857142857142854
2020-01-26,Colusa,44.0
2020-01-26,Contra Costa,46.57142857142857
2020-01-26,Del Norte,28.25
2020-01-26,El Dorado,29.857142857142858
2020-01-26,Fresno,79.85714285714286
2020-01-26,Glenn,52.714285714285715
2020-01-26,Humboldt,34.0
2020-01-26,Imperial,65.0
2020-01-26,Inyo,34.714285714285715
2020-01-26,Kern,76.0
2020-01-26,Kings,74.85714285714286
2020-01-26,Lake,23.571428571428573
2020-01-26,Los Angeles,79.57142857142857
2020-01-26,Madera,62.714285714285715
2020-01-26,Marin,40.0
2020-01-26,Mariposa,47.0
2020-01-26,Mendocino,40.857142857142854
2020-01-26,Merced,65.0
2020-01-26,Mono,51.57142857142857
2020-01-26,Monterey,29.714285714285715
2020-01-26,Napa,43.42857142857143
2020-01-26,Nevada,42.57142857142857
2020-01-26,Orange,65.85714285714286
2020-01-26,Placer,57.0
2020-01-26,Plumas,65.0
2020-01-26,Riverside,75.85714285714286
2020-01-26,Sacramento,61.857142857142854
2020-01-26,San Benito,40.142857142857146
2020-01-26,San Bernardino,78.14285714285714
